iter	Passed	Remaining
0	169	169020
1	183	91782
2	197	65781
3	213	53038
4	228	45388
5	238	39526
6	245	34861
7	251	31226
8	257	28303
9	261	25929
10	266	23965
11	270	22294
12	274	20846
13	278	19591
14	281	18511
15	285	17579
16	289	16751
17	293	16021
18	297	15361
19	301	14782
20	305	14250
21	309	13762
22	313	13316
23	318	12935
24	322	12574
25	326	12219
26	329	11886
27	333	11581
28	337	11304
29	341	11033
30	344	10782
31	348	10552
32	352	10334
33	356	10133
34	360	9940
35	364	9758
36	368	9584
37	372	9420
38	375	9261
39	379	9113
40	383	8968
41	387	8829
42	390	8699
43	394	8572
44	398	8453
45	402	8340
46	406	8233
47	410	8132
48	414	8036
49	418	7942
50	421	7850
51	426	7766
52	429	7682
53	433	7596
54	437	7518
55	442	7451
56	446	7382
57	450	7309
58	454	7241
59	458	7181
60	462	7115
61	466	7052
62	470	6992
63	474	6943
64	478	6885
65	482	6825
66	486	6774
67	490	6717
68	493	6659
69	497	6603
70	501	6555
71	504	6507
72	508	6456
73	512	6407
74	515	6363
75	519	6320
76	523	6275
77	527	6230
78	530	6187
79	534	6149
80	538	6107
81	541	6066
82	545	6028
83	549	5992
84	553	5953
85	556	5916
86	560	5881
87	564	5845
88	567	5811
89	571	5777
90	574	5742
91	578	5708
92	581	5675
93	585	5644
94	589	5612
95	592	5580
96	596	5550
97	599	5521
98	603	5491
99	606	5461
100	610	5435
101	614	5409
102	618	5382
103	621	5356
104	625	5333
105	629	5309
106	632	5281
107	636	5256
108	639	5231
109	644	5212
110	648	5192
111	651	5169
112	655	5144
113	659	5127
114	663	5108
115	667	5086
116	671	5064
117	674	5043
118	676	5011
119	680	4993
120	684	4973
121	688	4953
122	692	4934
123	696	4917
124	699	4896
125	703	4877
126	707	4860
127	711	4844
128	714	4825
129	718	4808
130	722	4791
131	726	4774
132	729	4757
133	733	4740
134	737	4723
135	741	4707
136	745	4694
137	749	4679
138	752	4664
139	756	4648
140	760	4634
141	764	4619
142	768	4602
143	771	4586
144	775	4571
145	778	4556
146	782	4540
147	786	4525
148	789	4510
149	793	4495
150	796	4480
151	800	4466
152	804	4451
153	807	4438
154	811	4424
155	815	4410
156	818	4395
157	822	4382
158	826	4370
159	829	4356
160	833	4343
161	837	4330
162	841	4319
163	844	4306
164	848	4294
165	852	4282
166	855	4269
167	860	4259
168	864	4248
169	867	4236
170	871	4223
171	875	4214
172	879	4203
173	882	4191
174	886	4180
175	891	4171
176	894	4160
177	898	4148
178	901	4136
179	906	4130
180	910	4119
181	914	4109
182	917	4097
183	922	4091
184	926	4081
185	930	4070
186	933	4059
187	938	4051
188	941	4041
